																			01/04/2026 17:09:35					03/31/2026																					
	SAE EQUIPMENT RMA TRACKING												Picture																																
																																													
			QUICK SEARCH																																										
																																													
																																													
																																													
			ROW	UNIT SERIAL NUMBER	ASSET #	SECTION #	RETURNED	TENTATIVE RMA RETURN DATE	TOTAL UNITS IN RMA	TOTAL UNITS OVERDUE								ASSET TAGS																											
			-	-	-	-	-	-	12	4									UNIT TAGGED?				IF ASSIGNED, NOT LOST																						
																																													
			ROW	UNIT SERIAL NUMBER	ASSET #	SAE	SCANNER	DATE RMA SUBMITTED	I.T. HAND OFF DATE	TENTATIVE RMA RETURN DATE	RECEIVED	COMMENTS	SECTION					ASSET TAG #	YES	NO	LOST	UNIT SERIAL #	LOCKER #	DATE TAGGED																					
25			25	18339523021188	380030	TRUE	FALSE	2/2/2026	2/2/2026	2/16/2026	TRUE	RECEIVED 2/12/26	2					380024	TRUE	FALSE	FALSE	19302523020260	24	8/16/2024																					
26			26	23327523022403	380009	TRUE	FALSE	2/4/2026	2/4/2026	2/18/2026	TRUE	RECEIVED 2/25/26	2					380025	TRUE	FALSE	FALSE	18339523020935	25	8/16/2024																					
27			27	183395223021229	383270	TRUE	FALSE	2/4/2026	2/4/2026	2/18/2026	TRUE	RECEIVED 2/22/26	2					380026	TRUE	FALSE	FALSE	18339523021105	26	8/16/2024																					
28			28	24317523022356	383291	TRUE	FALSE	2/4/2026	2/4/2026	2/18/2026	TRUE	RECEIVED 2/25/26	2					380027	TRUE	FALSE	FALSE	18339523020844	27	8/16/2024																					
29			29	18339523020924	380079	TRUE	FALSE	2/4/2026	2/4/2026	2/18/2026	TRUE	RECEIVED 2/22/26	2					380028	TRUE	FALSE	FALSE	18339523021233	28	8/16/2024																					
30			30	18339523020833	spare 6	TRUE	FALSE	1/25/2026	1/25/2026	2/8/2026	TRUE	RECEIVED 2/10/26	2					380029	TRUE	FALSE	FALSE	18339523020504	29	8/16/2024																					
31			31	18340523020816	380064	TRUE	FALSE	2/25/2026	2/25/2026	3/11/2026	TRUE	RECEIVED 2/25/26	3	SECTION 3				380030	TRUE	FALSE	FALSE	18339523021188	30	8/16/2024																					
32			32	18339523020504	380029	TRUE	FALSE	2/25/2026	2/25/2026	3/11/2026	TRUE	RECEIVED 2/25/26	3					380031	TRUE	FALSE	FALSE	18340523020412	31	8/16/2024																					
33			33	18338523021759	383299	TRUE	FALSE	2/25/2026	2/25/2026	3/11/2026	TRUE	RECEIVED 2/25/26	3					380032	TRUE	FALSE	FALSE	18339523021152	32	8/16/2024																					
34			34	183405123020823	380082	TRUE	FALSE	2/26/2026	2/26/2026	3/12/2026	TRUE	RECEIVED 3/25/26	3					380033	TRUE	FALSE	FALSE	18340523020411	33	8/16/2024																					
